Document type,Open Access,Number,Authors countries,Authors,Title,Journal title,Volume,Pages,Year,Beamline(s),Facility used,Proposal number,DOI,DOI added,WoS Number,Type,Facility repository
Journal article,,ESRF96SE145,,"Sepiol B., Meyer A., Vogl G., Rüffer R., Chumakov A.I., Baron A.Q.R.",Time domain study of 57Fe diffusion using nuclear forward scattering of synchrotron radiation,Physical Review Letters,76,3220-3223,1996.0,ID18,ESRF (Grenoble),,,10.1103/PhysRevLett.76.3220,WOS:A1996UF74400044,1,ESRF
Journal article,,ESRF96SE209,,"Sette F., Ruocco G., Krisch M., Bergmann U., Masciovecchio C., Mazzacurati V., Signorelli G., Verbeni R.","Comment on Collective dynamics in water by high energy resolution inelastic x-ray scattering [Phys. Rev. Letters 75, 850 (1995)]",Physical Review Letters,76,3657,1996.0,ID16,ESRF (Grenoble),,,10.1103/PhysRevLett.76.3657,WOS:A1996UW49000050,1,ESRF
Article from Conference in a Journal,,ESRF96SE202,,"Sette F., Ruocco G., Krisch M., Masciovecchio C., Verbeni R.",Collective dynamics in water by inelastic x-rays scattering,Physica Scripta,T66,48-56,1996.0,ID16,ESRF (Grenoble),,,10.1088/0031-8949/1996/T66/006,WOS:A1996WD64300007,1,ESRF
Journal article,,ESRF96SE190,,"Sette F., Ruocco G., Krisch M., Masciovecchio C., Verbeni R., Bergmann U.",Transition from normal to fast sound in liquid water,Physical Review Letters,77,83-86,1996.0,ID16,ESRF (Grenoble),,,10.1103/PhysRevLett.77.83,WOS:A1996UU47500022,1,ESRF
Article from Conference in a Journal,,ESRF96SE252,,"Sever F., Epaud F., Poncet F., Grave M., Rey-Bakaikoa V.",Modular data acquisition system and its use in gas-filled detector readout at ESRF,Review of Scientific Instruments,67,3370-1-3370-2,1996.0,,ESRF (Grenoble),,,10.1063/1.1147329,,1,ESRF
Journal article,,ESRF96SH319,,"Shvyd'ko Y.V., Chumakov A.I., Baron A.Q.R., Gerdau E., Rüffer R., Bernhard A., Metge J.",Nuclear resonance small-angle scattering of x-rays,Physical Review B,54,14942-14945,1996.0,ID18,ESRF (Grenoble),,,10.1103/PhysRevB.54.14942,WOS:A1996VY20100021,1,ESRF
Article from Conference in a Book,,ESRF97SI210,,"Signorato R., Goulon-Ginet C., Goulon J., Rogalev A., Ferme J.J.",Vertically focusing reflective optics using two bendable CVD SiC mirrors,Proceedings SPIE,2856,343-354,1996.0,ID12A,,,,,,1,ESRF
Article from Conference in a Journal,,ESRF96SI296,,"Sinn H., Burkel E.",Inelastic X-ray scattering by liquid lithium near the melting point,Journal of Physics Condensed Matter,8,9369-9372,1996.0,ID16,ESRF (Grenoble)/HASYLAB (Hambourg),,10.1088/0953-8984/8/47/031,,WOS:A1996VW56200031,1,ESRF
Journal article,,ESRF96SM223,,"Smirnov G.V., van Bürck U., Arthur J., Popov S.L., Baron A.Q.R., Chumakov A.I., Ruby S.L., Potzel W., Brown G.S.",Nuclear exciton echo produced by ultrasound in forward scattering of synchrotron radiation,Physical Review Letters,77,183-186,1996.0,,SSRL (Stanford),,,10.1103/PhysRevLett.77.183,WOS:A1996UU47500047,1,ESRF
Journal article,,ESRF96SN155,,"Snell G., Drescher M., Müller N., Heinzmann U., Hergenhahn U., Viefhaus J., Heiser F., Becker U., Brookes N.B.","Spin polarized Auger electrons: the Xe M4,5N4,5N4,5 case",Physical Review Letters,76,3923-3926,1996.0,,ESRF (Grenoble),,,10.1103/PhysRevLett.76.3923,WOS:A1996UL24700011,1,ESRF
Article from Conference in a Book,,ESRF97SN214,,Snigirev A.A.,Coherent properties of the third generation synchrotron radiation sources: requirements to the optics,Proceedings SPIE,2856,26-31,1996.0,,,,,,,1,ESRF
Journal article,,ESRF96SN262,,"Snigirev A.A., Kohn V.G., Snigireva I.I., Lengeler B.",A compound refractive lens for focusing high-energy x-rays,Nature,384,49-51,1996.0,BM5,ESRF (Grenoble),,10.1038/384049a0,,WOS:A1996VR21900049,1,ESRF
Journal article,,ESRF96SN142,,"Snigirev A.A., Snigireva I.I., Kohn V.G., Kuznetsov S.M.",On the requirements to the instrumentation for the new generation of the synchrotron radiation sources. Beryllium windows,Nuclear Instruments and Methods in Physics Research A,370,634-640,1996.0,BM5,ESRF (Grenoble),,10.1016/0168-9002(95)00849-7,,WOS:A1996UC92000048,1,ESRF
Journal article,,ESRF96SO157,,"Souvorov A., Snigirev A.A., Snigireva I.I., Aristova E.",Ion implanted Bragg-Fresnel lens,Review of Scientific Instruments,67,1733-1736,1996.0,,,,,10.1063/1.1146985,WOS:A1996UK82800005,1,ESRF
Journal article,,ESRF96SP171,,"Spielberger L., Jagutzki O., Kraessig B., Meyer U., Khayyat K., Mergel V., Tschentscher T., Buslaps T., Braeuning H., Doerner R., Vogt T., Achler M., Ullrich J., Gemmell D.S., Schmidt-Boecking H.",Double and single ionization of helium by 58-keV x rays,Physical Review Letters,76,4685-4688,1996.0,ID15,,,,10.1103/PhysRevLett.76.4685,WOS:A1996UR09500009,1,ESRF
Journal article,,ESRF96SP306,,"Spinelli S., Frenken L., Bourgeois D., de Ron L., Bos W., Verrips T., Anguille C., Cambillau C., Tegoni M.",The crystal structure of a llama heavy chain variable domain,Nature Structural Biology,3,752-757,1996.0,ID19,,,10.1038/nsb0996-752,,WOS:A1996VF28000007,1,ESRF
Journal article,,ESRF96SR320,,"Srajer V., Teng T.Y., Ursby T., Pradervand C., Ren Z., Adachi S.I., Schildkamp W., Bourgeois D., Wulff M., Moffat K.",Photolysis of the carbon monoxide complex of myoglobin: nanosecond time-resolved crystallography,Science,274,1726-1729,1996.0,ID9,ESRF (Grenoble),,10.1126/science.274.5293.1726,,WOS:A1996VW71200066,1,ESRF
Journal article,,ESRF96ST278,,"Stepanov S.A., Kondrashkina E.A., Schmidbauer M., Köhler R., Pfeiffer J.U., Jach T., Souvorov A.",Diffuse scattering from interface roughness in grazing-incidence x-ray diffraction,Physical Review B,54,8150-8162,1996.0,BM5,"CHESS (Ithaca, USA)/ESRF (Grenoble)",,10.1103/PhysRevB.54.8150,,WOS:A1996VL14500085,1,ESRF
Journal article,,ESRF96ST222,,"Strempfer J., Brückel T., Ruett U., Schneider J.R., Liss K.D., Tschentscher T.",The non-resonant magnetic x-ray scattering cross section of MnF2. 2. High-energy x-ray diffraction at 80 KeV,Acta Crystallographica A,52,438-449,1996.0,ID15,,,10.1107/S0108767396000773,,WOS:A1996UL81100015,1,ESRF
Article from Conference in a Book,,ESRF96SU285,,"Surma B., Misiuk A., Mozdzonek M., Härtwig J., Prieur E.",FTIR study of oxygen precipitation in high pressure treated Cz-Si contaminated by transition metals,Proceedings SPIE,2780,160-165,1996.0,BM5,ESRF (Grenoble),,,,,1,ESRF
Article from Conference in a Book,,ESRF97SU211,,"Susini J., Labergerie D., Hignette O.",R&D program on bimorph mirrors at the ESRF,Proceedings SPIE,2856,130-144,1996.0,,ESRF (Grenoble),,,,,1,ESRF
Article from Conference in a Journal,,ESRF96TA247,,"Tarazona E., Elleaume P.",Measurement of the absolute energy and energy spread of the ESRF electron beam using undulator radiation,Review of Scientific Instruments,67,3368-1-3368-4,1996.0,ID6,ESRF (Grenoble),,,10.1063/1.1147371,,1,ESRF
Article from Conference in a Journal,,ESRF96TH236,,"Thiaudière D., Naudon A.",Diffusion centrale des rayons X sous incidence rasante. Etude de la morphologie d'agregats,Journal de Physique IV,6,C4/553-C4/560,1996.0,,ESRF (Grenoble)/LURE (Orsay),,10.1051/jp4:1996452,,WOS:A1996VP30100054,1,ESRF
Journal article,,ESRF96TH339,,"Thurn-Albrecht T., Steffen W., Patkowski A., Meier G., Fischer E.W., Grübel G., Abernathy D.L.",Photon correlation spectroscopy of colloidal palladium using a coherent x-ray beam,Physical Review Letters,77,5437-5440,1996.0,ID10A,ESRF (Grenoble),,,10.1103/PhysRevLett.77.5437,WOS:A1996WA09300032,1,ESRF
Journal article,,ESRF96TO218,,"Torrelles X., Van Der Vegt H.A., Etgens V.H., Fajardo P., Alvarez J., Ferrer S.",The structure of the Ge(001)-(2x1) reconstruction investigated with x-ray diffraction,Surface Science,364,242-252,1996.0,ID3,,,,10.1016/0039-6028(96)00650-4,WOS:A1996VF38100008,1,ESRF
Journal article,,ESRF96TO336,,"Tosatti E., Manini N., Gunnarsson O.",Surprises in the orbital magnetic moment and g factor of the dynamic Jahn-Teller ion C60,Physical Review B,54,17184-17190,1996.0,,,,10.1103/PhysRevB.54.17184,,WOS:A1996WA83300125,1,ESRF
Article from Conference in a Journal,,ESRF96TS244,,"Tschentscher T., Suortti P.",Optics for high energy x-ray scattering applications,Review of Scientific Instruments,67,3349-1-3349-9,1996.0,ID15A_HEX/ID15B_HEX,ESRF (Grenoble),,,10.1063/1.1147487,,1,ESRF
Journal article,,ESRF04TU290,Finland/France (ESRF)/Sweden,"Tuominen M., Prieur E., Yakimova R., Glass R.C., Tuomi T., Janzen E.",Defect analysis in Lely-grown 6H SiC,Journal of Crystal Growth,165,233-244,1996.0,BM5,ESRF (Grenoble),,,10.1016/0022-0248(96)00188-1,WOS:A1996UZ46000006,1,ESRF
Article from Conference in a Journal,,ESRF96VA258,,"Vacinova J., Hodeau J.L., Bordet P., Anne M., Cox D., Fitch A.N., Pattison P., Schweggle W., Graafsma H., Kvick Å.","Diffraction anomalous fine structure analysis on (Bi, Pb)2Pt04 powders",Materials Science Forum,228-231,95-100,1996.0,BM1/ID11,ESRF (Grenoble),,,10.4028/www.scientific.net/MSF.228-231.95,WOS:A1996BG37Z00017,1,ESRF
Journal article,,ESRF96VE138,,"van Veenendaal M., Carra P., Thole B.T.",X-ray resonant Raman scattering in the rare earths,Physical Review B,54,16010-16023,1996.0,,,,,10.1103/PhysRevB.54.16010,WOS:A1996VX71800064,1,ESRF
Journal article,,ESRF96VA212,,"van Veenendaal M., Goedkoop J.B., Thole B.T.",Polarized x-ray fluorescence as a probe of ground state properties,Physical Review Letters,77,1508-1511,1996.0,,,,,10.1103/PhysRevLett.77.1508,WOS:A1996VC33600025,1,ESRF
Journal article,,ESRF96VE132,,"Verbeni R., Sette F., Krisch M., Bergmann U., Gorges B., Halcoussis C., Martel K., Masciovecchio C., Ribois J.F., Ruocco G., Sinn H.",X-ray monochromator with 2x10-8 energy resolution,Journal of Synchrotron Radiation,3,62-64,1996.0,ID16,ESRF (Grenoble),,,10.1107/S0909049595015883,WOS:A1996TZ91800003,1,ESRF
Article from Conference in a Journal,,ESRF97VE229,,"Vestli K., Ziegler E.",Optimization of multilayer reflectivity and bandpass for soft to hard x-ray applications [0.1-200 keV],Review of Scientific Instruments,67,3356-1-3356-5,1996.0,,ESRF (Grenoble),,,10.1063/1.1147462,,1,ESRF
Journal article,,ESRF96VO293,,"Vos W.L., Megens M., van Kats C.M., Boesecke P.",Transmission and diffraction by photonic colloidal crystals,Journal of Physics Condensed Matter,8,9503-9507,1996.0,ID2,ESRF (Grenoble),,10.1088/0953-8984/8/47/052,,WOS:A1996VW56200052,1,ESRF
Conference Abstract,,ESRF97WE411,,"Weber T., Boysen H., Frey F., Bérar J.F., Bley F.",Direct interpretation of diffuse scattering via phase assignment,Zeitschrift für Kristallographie Supplement,11,67,1996.0,BM2,ESRF (Grenoble),,,,,1,ESRF
Journal article,,ESRF96WE194,,"Wehlitz R., Hentges R., Pruemper G., Farhat A., Buslaps T., Berrah N., Levin J.C., Sellin I.A., Becker U.",Compton double-to-single ionization ratio of helium at 57 keV. Rapid communications,Physical Review A,53,R3720-R3722,1996.0,ID15B_HEX,,,,10.1103/PhysRevA.53.R3720,WOS:A1996UR60500005,1,ESRF
Journal article,,ESRF96WI295,,"Withers-Martinez C., Carrière F., Verger R., Bourgeois D., Cambillau C.",A pancreatic lipase with a phospholipase A1 activity: crystal structure of a chimeric pancreatic lipase-related protein 2 from guinea pig,Structure,4,1363-1374,1996.0,ID9,ESRF (Grenoble)/LURE (Orsay),,10.1016/S0969-2126(96)00143-8,,WOS:A1996VT99100013,1,ESRF
Article from Conference in a Book,,ESRF04WO152,France (ESRF)/France (not ESRF),"Wolanin E., Pruzan P., Chervin J.C., Canny B., Gauthier M., Häusermann D., Hanfland M.",High pressure study of ices VII and VIII using synchrotron X-ray diffraction,,,,,ID9,ESRF (Grenoble),,,,,1,ESRF
Journal article,,ESRF96WU263,,"Wulff M., Ursby T., Bourgeois D., Schotte F., Zontone F., Lorenzen M.",New opportunities for time resolved x-ray scattering at the ESRF,Journal de Chimie Physique & de Physico Chimie Biologique,93,1915-1937,1996.0,ID9,ESRF (Grenoble),,,10.1051/jcp/1996931915,WOS:A1996VT85400019,1,ESRF
Article from Conference in a Journal,,ESRF97XE115,,"Xenikos D.G., Lemberger T.R.",Vortex pinning in YBa2Cu3O7-x films,Czechoslovak Journal of Physics,46 Suppl. S3,1653-1654,1996.0,,,,,10.1007/BF02562941,WOS:A1996VL44000236,1,ESRF
Journal article,,ESRF96XE241,,"Xenikos D.G., Müller H., Strobel P.","Redox intercalation of iodine into Bi2Sr2Can-1CunOx (n=2, 3)",Physica C,268,339-346,1996.0,,,,,10.1016/0921-4534(96)00432-7,WOS:A1996VH55000018,1,ESRF
Article from Conference in a Journal,,ESRF97XE114,,"Xenikos D.G., Müller H., Strobel P., Loureiro S.M., Nemetschek R., Tholence J.L.",Redox intercalation of iodine into Bi- and Hg-based superconductors,Czechoslovak Journal of Physics,46 Suppl. S3,1469-1470,1996.0,,,,,10.1007/BF02562849,WOS:A1996VL44000144,1,ESRF
Journal article,,ESRF97ZH109,,"Zhang H.H., Filipponi A., Di Cicco A., Lee S.C., Scott M.J., Holm R.H., Hedman B., Hodgson K.O.",Multiple-edge XAS studies of synthetic iron-copper bridged molecular assemblies relevant to cytochrome c oxidase: structure determination using multiple-scattering analysis with statistical evaluation of errors,Inorganic Chemistry,35,4819-4828,1996.0,,SSRL (Stanford),,10.1021/ic960021n,,WOS:A1996VC19700004,1,ESRF
Article from Conference in a Book,,ESRF97ZH131,,Zhang L.,Vibration at the ESRF,,,,,,,,,,,1,ESRF
Article from Conference in a Book,,ESRF97ZH168,,Zhang L.,Vibration of the magnet-girder assembly,,,,,,,,,,,1,ESRF
Journal article,,ESRF96ZH282,,"Zhou T., Schwarz U., Hanfland M., Liu Z.X., Syassen K., Cardona M.",Structural and optical properties of HgO at high pressure,Physica Status Solidi (b),198,411-418,1996.0,,ESRF (Grenoble),,,10.1002/pssb.2221980153,WOS:A1996VX57300052,1,ESRF
Article from Conference in a Book,,ESRF97ZI213,,"Ziegler E., Hignette O., Lingham M., Souvorov A.",X-ray focusing using elliptically bent multilayers,Proceedings SPIE,2856,61-67,1996.0,BM5,,,,,,1,ESRF
Journal article,,ESRF96ZI215,,"Zinkin M.P., McMorrow D.F., Hill J.P., Cowley R.A., Lussier J.G., Gibaud A., Grübel G., Sutter C.",Synchrotron x-ray-scattering study of the normal-incommensurate phase transition in Rb2ZnCl4,Physical Review B,54,3115-3124,1996.0,ID10,,,,10.1103/PhysRevB.54.3115,WOS:A1996VC59600036,1,ESRF
Journal article,,ESRF96ZO197,,"Zontone F., Mancini L., Barrett R., Baruchel J., Härtwig J., Epelboin Y.",New features of dislocation images in third-generation synchrotron radiation topographs,Journal of Synchrotron Radiation,3,173-184,1996.0,BM5/ID19,,,,10.1107/S0909049596002269,WOS:A1996UX69300005,1,ESRF
Journal article,,ESRF95AK252,France (ESRF)/Japan,"Akahama Y., Kawamura H., Häusermann D., Hanfland M., Shimomura O.",New high-pressure structural transition of oxygen at 96 GPa associated with metallization in a molecular solid,Physical Review Letters,74,4690-4693,1995.0,ID9,ESRF (Grenoble),,10.1103/PhysRevLett.74.4690,,WOS:A1995RB20000033,1,ESRF
Article from Conference in a Journal,,ESRF95AL222,Denmark/France (ESRF),"Als-Nielsen J., Grübel G., Clausen B.S.",QEXAFS in seconds at an undulator source,Nuclear Instruments and Methods in Physics Research B,97,522-525,1995.0,ID10,ESRF (Grenoble),,,10.1016/0168-583X(94)00414-5,WOS:A1995RF15800115,1,ESRF
Article from Conference in a Book,,ESRF95AL216,,Altarelli M.,"Application of synchrotron radiation to semiconductor surfaces, interfaces and heterostructures",Proceedings SPIE,2397,556-565,1995.0,,ESRF (Grenoble),,,,,1,ESRF
Journal article,,ESRF95AL110,,Altarelli M.,Application of synchrotron radiation to the atomic and electronic structure of semiconductors,Acta Physica Polonica A,87,17-24,1995.0,,,,,10.12693/APhysPolA.87.17,WOS:A1995QE23100003,1,ESRF
Article from Conference in a Book,,ESRF96AL161,,Altarelli M.,Physics with third generation synchrotron radiation sources,,,,,,,,,,,1,ESRF
Journal article,,ESRF95AL202,,"Altarelli M., Núñez-Regueiro M.D., Papoular M.",Coexistence of two length scales in x-ray and neutron critical scattering : a theoretical interpretation,Physical Review Letters,74,3840-3843,1995.0,,,,,10.1103/PhysRevLett.74.3840,WOS:A1995QW90000032,1,ESRF
Journal article,,ESRF96AL120,,"Altuna X., Bussa M.P., Carboni G., Dehning B., Elsener K., Ferrari A., Fidecaro G., Freund A.K., Guinand R., Gyr M., Herr W., Klem J., Laffin M., Lanceri L., Mikkelsen U., Moller S.P., Scandale W., Tosello F., Uggerhøj E., Vuagnin G., Weisse E., Weisz S.",High efficiency multi-pass proton beam extraction with a bent crystal at the SPS,Physics Letters B,357,671-677,1995.0,BM5,,,,10.1016/0370-2693(95)00981-P,WOS:A1995RV82500025,1,ESRF
Journal article,,ESRF95AT248,,"Attaelmanan A., Voglis P., Rindby A., Larsson S., Engstroem P.",Improved capillary optics applied to microbeam x-ray fluorescence: resolution and sensitivity,Review of Scientific Instruments,66,24-27,1995.0,,,,,10.1063/1.1145266,WOS:A1995QD12300004,1,ESRF
Journal article,,ESRF95BA246,,"Baron A.Q.R., Chumakov A.I., Ruby S.L., Arthur J., Brown G.S., Smirnov G.V., van Bürck U.",Nuclear resonant scattering of synchrotron radiation by gaseous krypton,Physical Review B,51,16384-16387,1995.0,,SSRL (Stanford),,,10.1103/PhysRevB.51.16384,WOS:A1995RD55200077,1,ESRF
Article from Conference in a Journal,,ESRF95BA194,,"Barrett R., Baruchel J., Härtwig J., Zontone F.",The present status of the ESRF diffraction topography beamline: new experimental results,Journal of Physics D,28,A250-A255,1995.0,ID11/ID19,ESRF (Grenoble),,10.1088/0022-3727/28/4A/049,,WOS:A1995QX64000051,1,ESRF
Journal article,,ESRF95BA187,,"Bateson R.D., Bramwell S.T.",Enhanced magnetic X-ray diffraction from a nearly perfect crystal of iron,Journal of Physics Condensed Matter,7,L175-L180,1995.0,,ESRF (Grenoble),,10.1088/0953-8984/7/13/002,,WOS:A1995QR51000002,1,ESRF
Journal article,,ESRF95BA214,,"Baumbach G.T., Tixier S., Pietsch U., Holý V.",Grazing-incidence diffraction from multilayers,Physical Review B,51,16848-16859,1995.0,,HASYLAB (Hambourg),,10.1103/PhysRevB.51.16848,,WOS:A1995RF57000040,1,ESRF
Journal article,,ESRF95BE188,,"Belrhali H., Yaremchuk A., Tukalo M., Berthet-Colominas C., Rasmussen B., Boesecke P., Diat O., Cusack S.",The structural basis for seryl-adenylate and Ap4A synthesis by seryl-tRNA synthetase,Structure,3,341-352,1995.0,ID2B,LURE (Orsay),,,10.1016/S0969-2126(01)00166-6,WOS:A1995QT74100005,1,ESRF
Article from Conference in a Journal,,ESRF95BE134,,Bergmann U.,Moessbauer spectroscopy with synchrotron radiation,Applied Radiation and Isotopes,46,525-530,1995.0,,NSLS (Brookhaven),,10.1016/S0969-8043(95)00079-8,,WOS:A1995RJ94600053,1,ESRF
Article from Conference in a Journal,,ESRF95BE118,,"Bernhoeft N.R., Stunault A., Vettier C., de Bergevin F., Gibbs D., Thurston T.R., Shapiro S.M., Hastings J.B., Dalmas P., Helgesen G., Vogt O.",Antiferromagnetic layer formation in UAs,Journal of Magnetism and Magnetic Materials,140-144,1421-1422,1995.0,,NSLS (Brookhaven),,,10.1016/0304-8853(94)01378-0,WOS:A1995QM07400334,1,ESRF
Journal article,,ESRF95BI271,,"Bizebard T., Gigant B., Rigolet P., Rasmussen B., Diat O., Boesecke P., Wharton S.A., Skehel J.J., Knossow M.",Structure of influenza virus haemagglutinin complexed with a neutralizing antibody,Nature,376,92-94,1995.0,ID2B,ESRF (Grenoble)/LURE (Orsay)/SRS (Daresbury),,10.1038/376092a0,,WOS:A1995RH11100069,1,ESRF
Journal article,,ESRF95BL221,,"Blaas C., Redinger J., Manninen S., Honkimäki V., Hämäläinen K., Suortti P.",High resolution Compton scattering in Fermi surface studies: application to FeAl,Physical Review Letters,75,1984-1987,1995.0,ID15B_HEX,ESRF (Grenoble),,10.1103/PhysRevLett.75.1984,,WOS:A1995RR42800029,1,ESRF
Journal article,,ESRF95BL268,,"Bley F., Livet F., Leroux J.C., Simon J.P., Abernathy D.L., Als-Nielsen J., Grübel G., Vignaud G., Dolino G., Legrand J.F., Camel D., Menguy N., Papoular M.",High-Q-resolution x-ray diffraction of ordering Fe-Al single crystals,Acta Crystallographica A,51,746-753,1995.0,ID10,ESRF (Grenoble),,10.1107/S0108767395006805,,WOS:A1995RY79800013,1,ESRF
Article from Conference in a Journal,,ESRF95BO145,,"Boesecke P., Diat O., Rasmussen B.",High-brilliance beamline at the European Synchrotron Radiation Facility,Review of Scientific Instruments,66,1636-1638,1995.0,ID2B,ESRF (Grenoble),,,10.1063/1.1145868,WOS:A1995QK98100109,1,ESRF
Article from Conference in a Book,,ESRF96BO300,,"Bourgeois D., Ursby T., Wulff M., Pradervand C., Srajer V., Legrand A., Schildkamp W., Labouré S., Rubin C., Teng T.Y., Roth M., Moffat K.",Single pulse Laue images from macromolecular crystals recorded at ESRF (Invited paper),Proceedings SPIE,2521,178-181,1995.0,ID9,ESRF (Grenoble),,,,,1,ESRF
Journal article,,ESRF95BO278,,"Bourges P., Regnault L.P., Henry J.Y., Vettier C., Sidis Y., Burlet P.",Spin dynamics in the metallic state of the high-Tc superconducting system YBa2Cu3O6+x,Physica B,215,30-40,1995.0,,,,,10.1016/0921-4526(95)00024-4,WOS:A1995TB07600006,1,ESRF
Journal article,,ESRF96BO330,,"Bourges P., Sidis Y., Regnault L.P., Hennion B., Villeneuve R., Collin G., Vettier C., Henry J.Y., Marucco J.F.",Comparison of antiferromagnetic fluctuations in zinc-free and zinc-doped YBCO in fully oxidized samples. Studies by inelastic neutron scattering,Journal of Physics and Chemistry of Solids,56,1937-1938,1995.0,,,,,10.1016/0022-3697(95)00204-9,WOS:A1995TL54700108,1,ESRF
Article from Conference in a Book,,ESRF96BR301,,"Bradbrook G., Deacon A., Habash J., Helliwell J.R., Helliwell M., Nieh Y.P., Snell E.H., Trapani S., Thompson A.W., Campbell J.W., Allison N.M., Moon K., Ursby T., Wulff M.",Time-resolved biological and perturbation chemical crystallography: Laue and monochromatic developments,Proceedings SPIE,2521,160-177,1995.0,ID9,ESRF (Grenoble)/SRS (Daresbury),,10.1117/12.218347,,,1,ESRF
Journal article,,ESRF95BR231,,"Brauer S., Stephenson G.B., Sutton M., Bruening R., Dufresne E., Mochrie S.G.J., Grübel G., Als-Nielsen J., Abernathy D.L.",X-ray intensity fluctuation spectroscopy observations of critical dynamics in Fe3Al,Physical Review Letters,74,2010-2013,1995.0,ID10,ESRF (Grenoble),,,10.1103/PhysRevLett.74.2010,WOS:A1995QL58400029,1,ESRF
Article from Conference in a Journal,,ESRF95BR140,,"Brauer S., Stephenson G.B., Sutton M., Mochrie S.G.J., Dierker S.B., Fleming R.M., Pindak R., Robinson I.K., Grübel G., Als-Nielsen J., Abernathy D.L.",Asymmetrically cut crystals as optical elements for highly collimated x-ray beams,Review of Scientific Instruments,66,1506-1509,1995.0,ID10,ESRF (Grenoble),,,10.1063/1.1145892,WOS:A1995QK98100071,1,ESRF
Journal article,,ESRF97BR159,,"Brown N.R., Noble M.E.M., Endicott J.A., Garman E.F., Wakatsuki S., Mitchell E., Rasmussen B., Hunt T., Johnson L.N.",The crystal structure of cyclin A,Structure,3,1235-1247,1995.0,ID2B,,,,10.1016/S0969-2126(01)00259-3,WOS:A1995TG82000013,1,ESRF
Article from Conference in a Book,,ESRF95CA259,,"Carra P., Fabrizio M.",X-ray resonant inelastic scattering,,,,,,,,,,,1,ESRF
Journal article,,ESRF95CA192,,"Carra P., Fabrizio M., Thole B.T.",High resolution x-ray resonant Raman scattering,Physical Review Letters,74,3700-3703,1995.0,,ESRF (Grenoble),,,10.1103/PhysRevLett.74.3700,WOS:A1995QV14900050,1,ESRF
Journal article,,ESRF95CA114,,"Carra P., Thole B.T.",Anisotropic X-ray anomalous diffraction and forbidden reflections in alpha-Fe2O3,Vacuum,46,1105-1108,1995.0,,,,,10.1016/0042-207X(95)00116-6,WOS:A1995RR06300088,1,ESRF
Article from Conference in a Journal,,ESRF95CH156,,"Chavanne J., Elleaume P.",Insertion devices at the ESRF,Review of Scientific Instruments,66,1868-1871,1995.0,,,,,10.1063/1.1145809,WOS:A1995QK98100182,1,ESRF
Journal article,,ESRF95CH102,,"Chevallier P., Dhez P., Legrand F., Idir M., Soullie G., Mirone A., Erko A., Snigirev A.A., Snigireva I.I., Suvorov A., Freund A.K., Engstroem P., Als-Nielsen J., Grübel G.",First test of the scanning x-ray microprobe with Bragg-Fresnel multilayer lens at ESRF beam line,Nuclear Instruments and Methods in Physics Research A,354,584-587,1995.0,ID10,ESRF (Grenoble),,,10.1016/0168-9002(94)01052-8,WOS:A1995QE27100047,1,ESRF
Article from Conference in a Journal,,ESRF95CH185,,"Christ P., Biberacher W., Müller H., Andres K., Steep E., Jansen A.G.M.",High field magnetization measurements on alpha-(BEDT-TTF)2KHg(SCN)4,Synthetic Metals,70,823-824,1995.0,,,,,10.1016/0379-6779(94)02664-K,WOS:A1995QQ70100035,1,ESRF
Journal article,,ESRF95CH247,,"Christ P., Biberacher W., Müller H., Andres K., Steep E., Jansen A.G.M.",High field magnetization measurements on alpha-(BEDT-TTF)2KHg(SCN)4,Physica B,204,153-158,1995.0,,,,,10.1016/0921-4526(94)00256-U,WOS:A1995QE89500022,1,ESRF
Journal article,,ESRF95CH133,,"Chumakov A.I., Baron A.Q.R., Arthur J., Ruby S.L., Brown G.S., Smirnov G.V., van Bürck U., Wortmann G.",Nuclear scattering of synchrotron radiation by 181Ta,Physical Review Letters,75,549-552,1995.0,,SSRL (Stanford),,,10.1103/PhysRevLett.75.549,WOS:A1995RK33000049,1,ESRF
Journal article,,ESRF95CH211,,"Chumakov A.I., Rüffer R., Grünsteudel H., Grünsteudel H.F., Grübel G., Metge J., Leupold O., Goodwin H.A.",Energy dependence of nuclear recoil measured with incoherent nuclear scattering of synchrotron radiation,Europhysics Letters,30,427-432,1995.0,ID10,ESRF (Grenoble),,,10.1209/0295-5075/30/7/009,WOS:A1995RC41700009,1,ESRF
Article from Conference in a Journal,,ESRF95CO165,,Comin F.,"A cryogenically cooled, sagittal focusing scanning monochromator for ESRF",Review of Scientific Instruments,66,2082-2084,1995.0,,ESRF (Grenoble),,,10.1063/1.1145734,WOS:A1995QK98100238,1,ESRF
Article from Conference in a Journal,,ESRF95CO146,,Comin F.,Six degree-of-freedom scanning supports and manipulators based on parallel robots,Review of Scientific Instruments,66,1665-1667,1995.0,,,,,10.1063/1.1145876,WOS:A1995QK98100118,1,ESRF
Journal article,,ESRF96CO126,,Comin F.,Synchrotron radiation structural techniques applied to surfaces and interfaces,Surface Review and Letters,2,885-893,1995.0,ID3,ESRF (Grenoble),,10.1142/S0218625X95000777,,WOS:A1995TP61400017,1,ESRF
Journal article,,ESRF96PA279,,"De Panfilis S., d'Acapito F., Haas V., Konrad H., Weissmueller J., Boscherini F.",Local structure and size effects in nanophase palladium: an x-ray absorption study,Physics Letters A,207,397-403,1995.0,BM8,ESRF (Grenoble),,,10.1016/0375-9601(95)00708-B,WOS:A1995TE27300015,1,ESRF
